"/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y"
0.4400000000000001,0.3879301058651072,0.4400000000000001,0.2062277638131109,0.4400000000000001,0.8103841478423053,0.4400000000000001,0.6477049056512015,0.4400000000000001,0.5045297230832795,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001
0.4620000000000001,0.2214739933545887,0.4620000000000001,0.1222986657395646,0.4620000000000001,0.640494336915128,0.4620000000000001,0.4315342456684774,0.4620000000000001,0.3080337712086095,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001
0.4840000000000002,0.1388310082276763,0.4840000000000002,0.09211430889414858,0.4840000000000002,0.4393154216137138,0.4840000000000002,0.2257838572266835,0.4840000000000002,0.162559631677789,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002
0.5060000000000001,0.1071111588691108,0.5060000000000001,0.07464671059936089,0.5060000000000001,0.2473656249603615,0.5060000000000001,0.123000358037915,0.5060000000000001,0.1116438270257374,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001
0.5280000000000001,0.08853147679366569,0.5280000000000001,0.06251360111216377,0.5280000000000001,0.1426686185879456,0.5280000000000001,0.08960141956695106,0.5280000000000001,0.0880344558434925,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001
0.5500000000000002,0.07550848815172956,0.5500000000000002,0.05316045060064278,0.5500000000000002,0.1062978932115846,0.5500000000000002,0.07101897504510575,0.5500000000000002,0.07273639775774109,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002
0.5720000000000002,0.06539312984056342,0.5720000000000002,0.0455555799868306,0.5720000000000002,0.08608417930470237,0.5720000000000002,0.05816789996324514,0.5720000000000002,0.06148812994207498,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002
0.5940000000000002,0.05711103784691736,0.5940000000000002,0.03913734611395872,0.5940000000000002,0.07204054258599121,0.5940000000000002,0.04841153331348978,0.5940000000000002,0.05255667983681674,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002
0.6160000000000002,0.05007304265270771,0.6160000000000002,0.03357560120053175,0.6160000000000002,0.06130762949349585,0.6160000000000002,0.04054763328899773,0.6160000000000002,0.04514220596769916,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002
0.6380000000000002,0.04392830466212854,0.6380000000000002,0.02866583189679987,0.6380000000000002,0.05258847387621134,0.6380000000000002,0.03397398567851059,0.6380000000000002,0.03879148321112098,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002
