"/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/Q (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/Q (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=FF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=FS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) X","/QB (Corner=SF,modelFiles=PMOS_VTL.inc,NMOS_VTL.inc) Y","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=SS,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) X","/QB (Corner=TT,modelFiles=NMOS_VTL.inc,PMOS_VTL.inc) Y"
0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.4400000000000001,0.387930177863523,0.4400000000000001,0.2062287979545706,0.4400000000000001,0.8103839188920593,0.4400000000000001,0.6477047055293104,0.4400000000000001,0.5045295794777752
0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.4620000000000001,0.2214747635762765,0.4620000000000001,0.1223074327175181,0.4620000000000001,0.6404941659839268,0.4620000000000001,0.4315341919095255,0.4620000000000001,0.3080356856336359
0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.4840000000000002,0.1388337422996792,0.4840000000000002,0.09211417461413714,0.4840000000000002,0.4393153713326944,0.4840000000000002,0.2257839157812769,0.4840000000000002,0.1625595370646661
0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.5060000000000001,0.1071137311413256,0.5060000000000001,0.07471216767391421,0.5060000000000001,0.2473655822142301,0.5060000000000001,0.1230003074069554,0.5060000000000001,0.111643759512001
0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.5280000000000001,0.08859936499209992,0.5280000000000001,0.0625133227744107,0.5280000000000001,0.1426797506685049,0.5280000000000001,0.08960763498550771,0.5280000000000001,0.08803439793939617
0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.5500000000000002,0.07550821622452775,0.5500000000000002,0.0531603483937363,0.5500000000000002,0.1063058822335148,0.5500000000000002,0.07101894033516999,0.5500000000000002,0.07276675624688067
0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.5720000000000002,0.06539303725883294,0.5720000000000002,0.04555548093866642,0.5720000000000002,0.08608414875116607,0.5720000000000002,0.05816786769396497,0.5720000000000002,0.06148803054970046
0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.5940000000000002,0.05711094746811784,0.5940000000000002,0.03913724940107675,0.5940000000000002,0.07205767072881028,0.5940000000000002,0.04841150254355381,0.5940000000000002,0.05255663095030291
0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.6160000000000002,0.05007295386615753,0.6160000000000002,0.03357550614937622,0.6160000000000002,0.0613075831212511,0.6160000000000002,0.04054760354826306,0.6160000000000002,0.04514215824606824
0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.6380000000000002,0.04392821693415254,0.6380000000000002,0.02866573802180313,0.6380000000000002,0.05258844696994459,0.6380000000000002,0.03397395667042508,0.6380000000000002,0.03879143632205011
